Source,Target,Type,Distance,Voltage,Lines
291,108,Undirected,55.6,220,1
291,292,Undirected,26,220,1
293,292,Undirected,10.5,220,1
285,294,Undirected,80.3,66,1
108,295,Undirected,68.17,220,2
108,296,Undirected,18.9,220,1
296,297,Undirected,17.8,220,1
108,298,Undirected,43.09,154,1
108,299,Undirected,84.54,154,1
108,115,Undirected,35.9,220,1
300,115,Undirected,29.8,220,1
108,117,Undirected,43.89,154,1
301,46,Undirected,29.3,66,1
45,302,Undirected,0.8,66,1
45,303,Undirected,11.9,66,1
304,303,Undirected,10.9,66,1
305,116,Undirected,0.1,220,1
306,116,Undirected,44.25,220,1
295,307,Undirected,41.6,220,2
295,308,Undirected,136.22,220,2
295,304,Undirected,3,220,2
308,309,Undirected,152,220,1
308,310,Undirected,118.38,220,1
309,310,Undirected,36.38,220,1
311,310,Undirected,1.8,220,1
304,120,Undirected,9.6425,66,4
119,10,Undirected,68.425,66,2
10,309,Undirected,38.4,66,1
312,309,Undirected,0,66,2
313,309,Undirected,0,220,1
314,9,Undirected,36.75,66,1
314,315,Undirected,5.7,66,3
314,316,Undirected,22.7,66,2
315,317,Undirected,0.15,220,1
309,317,Undirected,110.3,220,1
309,318,Undirected,107.6,220,1
319,318,Undirected,47,220,1
320,318,Undirected,109.7,220,1
317,321,Undirected,38.03,220,1
322,321,Undirected,6.32,110,1
323,321,Undirected,39.68,110,1
324,321,Undirected,44.42,110,1
324,325,Undirected,7,66,1
324,326,Undirected,7,66,1
317,320,Undirected,105.56,220,1
315,16,Undirected,0.76,66,1
327,16,Undirected,0,66,1
320,17,Undirected,0.19,220,2
328,17,Undirected,110.78,220,1
328,329,Undirected,0.2,220,1
330,329,Undirected,0,66,1
331,332,Undirected,57.29,110,1
320,333,Undirected,59.6,220,2
294,117,Undirected,7.1,66,2
328,334,Undirected,32.65,110,1
100,125,Undirected,135.26,220,1
241,335,Undirected,22,154,2
208,209,Undirected,32.74,110,1
274,260,Undirected,7.93,66,1
213,178,Undirected,14.47,66,1
336,332,Undirected,25.96,110,1
160,167,Undirected,38.95,220,1
117,337,Undirected,12.1,154,1
328,336,Undirected,32.78,110,1
100,123,Undirected,112.16,220,1
296,304,Undirected,187.5,220,1
40,338,Undirected,16.65,66,1
91,339,Undirected,5.5,66,1
277,340,Undirected,0.5,154,1
140,143,Undirected,0,110,1
214,213,Undirected,7.19,66,1
212,39,Undirected,50.69,66,1
341,173,Undirected,10.34,220,2
177,342,Undirected,7.18,110,2
1,101,Undirected,18.82,66,1
147,341,Undirected,69.76,220,2
112,272,Undirected,11.86,66,2
198,343,Undirected,21.37,110,1
131,344,Undirected,37.97,66,2
9,315,Undirected,40.29,66,1
74,345,Undirected,7,66,1
82,78,Undirected,10.68,110,1
346,17,Undirected,13.62,110,1
118,46,Undirected,17.8,66,1
149,347,Undirected,0,66,1
